d,state,rounds_pre,rounds_ls,p,decoder,num_qubits,num_detectors,num_observables,shots,errors,logical_error_rate,build_time_sec,decoding_time_sec
3,Z,3,3,0.0005,pymatching,85,336,1,10000,27,0.0027,0.03,54.6
3,Z,3,3,0.001,pymatching,85,336,1,10000,91,0.0091,0.03,78.63
3,Z,3,3,0.002,pymatching,85,336,1,10000,336,0.0336,0.03,101.66
3,Z,3,3,0.005,pymatching,85,336,1,10000,1575,0.1575,0.03,83.65
3,Z,3,3,0.01,pymatching,85,336,1,10000,3920,0.392,0.03,98.15
3,X,3,3,0.0005,pymatching,85,336,1,10000,34,0.0034,0.04,95.14
3,X,3,3,0.001,pymatching,85,336,1,10000,68,0.0068,0.04,78.62
3,X,3,3,0.002,pymatching,85,336,1,10000,255,0.0255,0.04,75.62
3,X,3,3,0.005,pymatching,85,336,1,10000,1308,0.1308,0.04,66.11
3,X,3,3,0.01,pymatching,85,336,1,10000,3496,0.3496,0.04,64.11
5,Z,5,5,0.0005,pymatching,261,1840,1,110000,15,0.00013636363636363637,0.2,63.61
5,Z,5,5,0.001,pymatching,261,1840,1,40000,26,0.00065,0.2,64.11
5,Z,5,5,0.002,pymatching,261,1840,1,10000,69,0.0069,0.2,71.11
5,Z,5,5,0.005,pymatching,261,1840,1,10000,1130,0.113,0.2,63.12
5,Z,5,5,0.01,pymatching,261,1840,1,110000,49008,0.4455272727272727,0.2,61.11
5,X,5,5,0.0005,pymatching,261,1840,1,120000,10,8.333333333333333e-05,0.2,66.11
5,X,5,5,0.001,pymatching,261,1840,1,30000,15,0.0005,0.2,66.12
5,X,5,5,0.002,pymatching,261,1840,1,10000,58,0.0058,0.2,36.07
5,X,5,5,0.005,pymatching,261,1840,1,70000,6731,0.09615714285714286,0.2,37.57
5,X,5,5,0.01,pymatching,261,1840,1,100000,42734,0.42734,0.2,36.07
7,Z,7,7,0.0005,pymatching,533,5376,1,2420000,10,4.132231404958678e-06,0.77,41.58
7,Z,7,7,0.001,pymatching,533,5376,1,390000,22,5.641025641025641e-05,0.77,23.56
7,Z,7,7,0.002,pymatching,533,5376,1,160000,192,0.0012,0.77,34.57
7,Z,7,7,0.005,pymatching,533,5376,1,10000,759,0.0759,0.77,35.08
7,Z,7,7,0.01,pymatching,533,5376,1,130000,61862,0.47586153846153845,0.77,44.09
7,X,7,7,0.0005,pymatching,533,5376,1,2710000,10,3.690036900369004e-06,0.77,38.58
7,X,7,7,0.001,pymatching,533,5376,1,340000,17,5e-05,0.77,38.57
7,X,7,7,0.002,pymatching,533,5376,1,20000,20,0.001,0.77,36.58
7,X,7,7,0.005,pymatching,533,5376,1,10000,664,0.0664,0.77,37.58
7,X,7,7,0.01,pymatching,533,5376,1,160000,75122,0.4695125,0.77,45.08
