d,rounds,r,p,p_injected,p_in,ler_ps,post_selection_rate,shots,errors
3,1,1,0.0,0.001,0.0009333333333333333,0.0,0.99301879,100000000,0
3,1,1,0.0,0.0056,0.00545,1.4875401775304824e-06,0.9614570223112128,69920000,100
3,1,1,0.0,0.032,0.0326,0.0002277971592850544,0.7968168067226891,595000,108
3,1,1,0.0,0.178,0.1764,0.06223175965665236,0.2796,10000,174
5,1,1,0.0,0.001,0.0012235294117647058,0.0,0.99302,100000000,0
5,1,1,0.0,0.0056,0.00555,1.3109690920814072e-06,0.96142486765818,79340000,100
5,1,1,0.0,0.032,0.0316,0.0002558386023902635,0.7969223300970874,515000,105
5,1,1,0.0,0.178,0.167,0.0635593220338983,0.2832,10000,180
7,1,1,0.0,0.001,0.0009363636363636363,1.0070363949096042e-08,0.99301277,100000000,1
7,1,1,0.0,0.0056,0.00555,1.0522144921986029e-06,0.9614330500758725,98850000,100
7,1,1,0.0,0.032,0.0288,0.00023347705142943545,0.7959699115044248,565000,105
7,1,1,0.0,0.178,0.173,0.067422962426583,0.2762,45000,838
