code,distance,p,n_data,n_total,k,figure,shots,errors,basis,logical_error_rate,seconds,decoder
rotated_sc,3,0.001,9,17,1,1,200000,205,Z,0.001025,63.141198120079935,pymatching
rotated_sc,3,0.002,9,17,1,1,60000,201,Z,0.00335,62.64738094003405,pymatching
rotated_sc,3,0.005,9,17,1,1,20000,379,Z,0.01895,58.72124199499376,pymatching
rotated_sc,3,0.007,9,17,1,1,10000,335,Z,0.0335,63.19881150103174,pymatching
rotated_sc,3,0.01,9,17,1,1,10000,601,Z,0.0601,63.159577290993184,pymatching
rotated_sc,3,0.012,9,17,1,1,10000,762,Z,0.0762,62.14232843799982,pymatching
rotated_sc,3,0.015,9,17,1,1,10000,1165,Z,0.1165,60.15701016189996,pymatching
rotated_sc,5,0.001,25,49,1,1,1180000,206,Z,0.0001745762711864,84.17493215901777,pymatching
rotated_sc,5,0.002,25,49,1,1,190000,241,Z,0.0012684210526315,64.16275723697618,pymatching
rotated_sc,5,0.005,25,49,1,1,20000,278,Z,0.0139,51.64778388908599,pymatching
rotated_sc,5,0.007,25,49,1,1,10000,368,Z,0.0368,61.15784864500165,pymatching
rotated_sc,5,0.01,25,49,1,1,10000,836,Z,0.0836,90.16748748999088,pymatching
rotated_sc,5,0.012,25,49,1,1,40000,5056,Z,0.1264,62.66182928602211,pymatching
rotated_sc,5,0.015,25,49,1,1,10000,1924,Z,0.1924,86.69833623198792,pymatching
rotated_sc,7,0.001,49,97,1,1,9360000,200,Z,2.1367521367521368e-05,82.68027956399601,pymatching
rotated_sc,7,0.002,49,97,1,1,590000,203,Z,0.0003440677966101,70.67724480899051,pymatching
rotated_sc,7,0.005,49,97,1,1,20000,205,Z,0.01025,65.16557475901209,pymatching
rotated_sc,7,0.007,49,97,1,1,20000,725,Z,0.03625,89.1915701039834,pymatching
rotated_sc,7,0.01,49,97,1,1,20000,2169,Z,0.10845,58.643826029030606,pymatching
rotated_sc,7,0.012,49,97,1,1,30000,5065,Z,0.1688333333333333,70.1729878919432,pymatching
rotated_sc,7,0.015,49,97,1,1,10000,2764,Z,0.2764,77.18001072003972,pymatching
unrotated_sc,3,0.001,13,25,1,1,270000,204,Z,0.0007555555555555,59.186516592046246,pymatching
unrotated_sc,3,0.002,13,25,1,1,70000,239,Z,0.0034142857142857,83.16244963300414,pymatching
unrotated_sc,3,0.005,13,25,1,1,20000,383,Z,0.01915,71.17133617005311,pymatching
unrotated_sc,3,0.007,13,25,1,1,10000,337,Z,0.0337,54.65429104701616,pymatching
unrotated_sc,3,0.01,13,25,1,1,10000,647,Z,0.0647,53.1820323279826,pymatching
unrotated_sc,3,0.012,13,25,1,1,10000,907,Z,0.0907,52.63410774397198,pymatching
unrotated_sc,3,0.015,13,25,1,1,10000,1269,Z,0.1269,52.62441637797747,pymatching
unrotated_sc,5,0.001,41,81,1,1,2630000,201,Z,7.642585551330798e-05,53.6516147319926,pymatching
unrotated_sc,5,0.002,41,81,1,1,380000,215,Z,0.0005657894736842,58.14942227001302,pymatching
unrotated_sc,5,0.005,41,81,1,1,20000,211,Z,0.01055,54.13517573499121,pymatching
unrotated_sc,5,0.007,41,81,1,1,10000,323,Z,0.0323,56.129959939047694,pymatching
unrotated_sc,5,0.01,41,81,1,1,10000,769,Z,0.0769,54.6267268928932,pymatching
unrotated_sc,5,0.012,41,81,1,1,10000,1273,Z,0.1273,56.62898613302968,pymatching
unrotated_sc,5,0.015,41,81,1,1,30000,6364,Z,0.2121333333333333,57.15711900102906,pymatching
unrotated_sc,7,0.001,85,169,1,1,46600000,201,Z,4.313304721030043e-06,59.661854566889815,pymatching
unrotated_sc,7,0.002,85,169,1,1,2320000,219,Z,9.439655172413792e-05,50.67307458096184,pymatching
unrotated_sc,7,0.005,85,169,1,1,40000,224,Z,0.0056,56.15887158690021,pymatching
unrotated_sc,7,0.007,85,169,1,1,10000,226,Z,0.0226,57.65557046001777,pymatching
unrotated_sc,7,0.01,85,169,1,1,10000,1015,Z,0.1015,53.17728912597522,pymatching
unrotated_sc,7,0.012,85,169,1,1,20000,3554,Z,0.1777,52.65125602099579,pymatching
unrotated_sc,7,0.015,85,169,1,1,10000,3036,Z,0.3036,50.13036706892308,pymatching
toric,3,0.001,18,36,2,1,190000,202,Z,0.0010631578947368,27.60302114696242,pymatching
toric,3,0.002,18,36,2,1,50000,205,Z,0.0041,29.118116965983063,pymatching
toric,3,0.005,18,36,2,1,10000,320,Z,0.032,28.094054611981846,pymatching
toric,3,0.007,18,36,2,1,10000,618,Z,0.0618,28.118783787009303,pymatching
toric,3,0.01,18,36,2,1,10000,1286,Z,0.1286,29.639971898053773,pymatching
toric,3,0.012,18,36,2,1,30000,5178,Z,0.1726,27.60044992400799,pymatching
toric,3,0.015,18,36,2,1,10000,2498,Z,0.2498,29.103826373931952,pymatching
toric,5,0.001,50,100,2,1,3170000,200,Z,6.309148264984228e-05,29.6129259619629,pymatching
toric,5,0.002,50,100,2,1,360000,210,Z,0.0005833333333333,29.13472177798394,pymatching
toric,5,0.005,50,100,2,1,20000,249,Z,0.01245,26.10186320694629,pymatching
toric,5,0.007,50,100,2,1,20000,852,Z,0.0426,29.63003316707909,pymatching
toric,5,0.01,50,100,2,1,10000,1354,Z,0.1354,29.104258902953006,pymatching
toric,5,0.012,50,100,2,1,20000,4629,Z,0.23145,27.115903590107337,pymatching
toric,5,0.015,50,100,2,1,40000,14965,Z,0.374125,29.637963103945367,pymatching
toric,7,0.001,98,196,2,1,60880000,200,Z,3.28515111695138e-06,39.63224474003073,pymatching
toric,7,0.002,98,196,2,1,3300000,211,Z,6.393939393939394e-05,29.603806806961074,pymatching
toric,7,0.005,98,196,2,1,50000,305,Z,0.0061,29.09829075797461,pymatching
toric,7,0.007,98,196,2,1,10000,307,Z,0.0307,31.61180820199661,pymatching
toric,7,0.01,98,196,2,1,10000,1603,Z,0.1603,28.61985371005721,pymatching
toric,7,0.012,98,196,2,1,60000,17838,Z,0.2973,29.602966031059623,pymatching
toric,7,0.015,98,196,2,1,10000,5150,Z,0.515,27.6073379709851,pymatching
unrotated_sc,3,0.0005,13,25,1,1,485000,100,Z,0.0002061855670103,66.79192198999226,pymatching
unrotated_sc,5,0.0005,41,81,1,1,9606000,100,Z,1.0410160316468871e-05,69.79006434511393,pymatching
unrotated_sc,7,0.0005,85,169,1,1,408639000,100,Z,2.447147726966834e-07,95.74371463083662,pymatching
unrotated_sc,3,0.0005,13,25,1,1,430000,100,X,0.0002326,23.1,pymatching
unrotated_sc,3,0.001,13,25,1,1,100000,101,X,0.00101,22.1,pymatching
unrotated_sc,3,0.002,13,25,1,1,40000,125,X,0.003125,22.1,pymatching
unrotated_sc,3,0.005,13,25,1,1,10000,187,X,0.0187,21.1,pymatching
unrotated_sc,3,0.007,13,25,1,1,10000,360,X,0.036,21.1,pymatching
unrotated_sc,3,0.01,13,25,1,1,10000,700,X,0.07,22.1,pymatching
unrotated_sc,5,0.0005,41,81,1,1,8710000,102,X,1.171e-05,22.1,pymatching
unrotated_sc,5,0.001,41,81,1,1,1600000,111,X,6.938e-05,20.5,pymatching
unrotated_sc,5,0.002,41,81,1,1,180000,109,X,0.0006056,19.5,pymatching
unrotated_sc,5,0.005,41,81,1,1,10000,114,X,0.0114,20.5,pymatching
unrotated_sc,5,0.007,41,81,1,1,20000,671,X,0.03355,22.6,pymatching
unrotated_sc,5,0.01,41,81,1,1,10000,933,X,0.0933,21.6,pymatching
unrotated_sc,7,0.0005,85,169,1,1,332820000,100,X,3.005e-07,86.1,pymatching
unrotated_sc,7,0.001,85,169,1,1,20180000,100,X,4.955e-06,27.6,pymatching
unrotated_sc,7,0.002,85,169,1,1,1030000,115,X,0.0001117,23.1,pymatching
unrotated_sc,7,0.005,85,169,1,1,40000,273,X,0.006825,22.6,pymatching
unrotated_sc,7,0.007,85,169,1,1,30000,924,X,0.0308,21.6,pymatching
unrotated_sc,7,0.01,85,169,1,1,40000,4980,X,0.1245,21.6,pymatching
rotated_sc,3,0.0005,9,17,1,1,280000,104,Z,0.0003714285714285,38.57455967110582,pymatching
toric,3,0.0005,18,36,2,1,340000,101,Z,0.0002970588235294,38.57659930014052,pymatching
rotated_sc,5,0.0005,25,49,1,1,3530000,101,Z,2.8611898016997167e-05,39.57560914894566,pymatching
toric,5,0.0005,50,100,2,1,16010000,100,Z,6.246096189881324e-06,41.0719533059746,pymatching
rotated_sc,7,0.0005,49,97,1,1,70930000,100,Z,1.4098406880022557e-06,47.58701334800571,pymatching
toric,7,0.0005,98,196,2,1,745940000,100,Z,1.340590396010403e-07,202.77421848615631,pymatching
